Manifest,Image,Tags
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/94%2Fc8%2F07%2F94c807f418f3478ab069a9ae7fddba37%2Fintermediate_file/2513,2728,125,154/full/0/default.jpg",ሀ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/430,995,98,106/full/0/default.jpg",ሀ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/329,160,28,30/full/0/default.jpg",ሀ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/81%2F60%2Ff5%2F8160f507a81d4bd4974adde099b8ee51%2Fintermediate_file/4022,2221,231,207/full/0/default.jpg",ሁ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/39%2Fa1%2F6d%2F39a16d01308247ce9e575068f84590b0%2Fintermediate_file/3540,1989,244,216/full/0/default.jpg",ሁ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/d1%2F0d%2F50%2Fd10d50bff8bb4a9b84bf985960bf4240%2Fintermediate_file/1839,2525,278,240/full/0/default.jpg",ሁ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/42%2Fcb%2F57%2F42cb57dc042d464e98b497b29d468847%2Fintermediate_file/4805,3635,325,298/full/0/default.jpg",ሁ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/fe%2Fa8%2F48%2Ffea8485869314376ab4387b653d11408%2Fintermediate_file/1891,3336,304,284/full/0/default.jpg",ሁ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/612,989,117,118/full/0/default.jpg",ሁ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/801,994,110,103/full/0/default.jpg",ሂ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0009_fa_0001r.jp2/470,1099,36,42/full/0/default.jpg",ለ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0014_fa_0003v.jp2/409,1531,40,61/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/2c%2F48%2Ff0%2F2c48f05da9f14e9892ab2575c4e0fb2f%2Fintermediate_file/2649,3051,188,182/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/a1%2F54%2Fbf%2Fa154bff9de7a40608b53fe5e1a7af2a4%2Fintermediate_file/2959,2274,150,214/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/1801,2155,267,285/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/2586,3398,176,299/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/1852,4299,263,301/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/1181,5165,278,282/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/3761,1798,302,322/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/94%2Fc8%2F07%2F94c807f418f3478ab069a9ae7fddba37%2Fintermediate_file/1931,2056,119,157/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/94%2Fc8%2F07%2F94c807f418f3478ab069a9ae7fddba37%2Fintermediate_file/1775,1808,116,165/full/0/default.jpg",ለ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/1106,247,44,36/full/0/default.jpg",ለ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/1063,592,47,41/full/0/default.jpg",ለ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/793,746,28,45/full/0/default.jpg",ለ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/81%2F60%2Ff5%2F8160f507a81d4bd4974adde099b8ee51%2Fintermediate_file/2067,4035,239,213/full/0/default.jpg",ሉ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/a1%2Ffe%2F97%2Fa1fe97c70a3045fd8a630c5226e267b7%2Fintermediate_file/2490,1482,228,220/full/0/default.jpg",ሉ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/34%2Fef%2F45%2F34ef45ec5928469285847749ab2b15a2%2Fintermediate_file/2857,2162,351,280/full/0/default.jpg",ሉ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/7a%2Fc9%2Fa1%2F7ac9a144132f4296acd7fa454cac2bb1%2Fintermediate_file/1661,813,317,339/full/0/default.jpg",ሉ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/fe%2Fa8%2F48%2Ffea8485869314376ab4387b653d11408%2Fintermediate_file/2190,2540,289,319/full/0/default.jpg",ሉ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/588,1236,149,102/full/0/default.jpg",ሉ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/2c%2F48%2Ff0%2F2c48f05da9f14e9892ab2575c4e0fb2f%2Fintermediate_file/4806,5036,237,184/full/0/default.jpg",ሐ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/1449,1769,271,277/full/0/default.jpg",ሐ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/4360,3896,318,304/full/0/default.jpg",ሐ
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/32%2F8d%2Fa1%2F328da17a94e64525913db2b61e7f0fca%2Fintermediate_file/582,2956,163,168/full/0/default.jpg",ሐ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/435,1491,122,95/full/0/default.jpg",ሐ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/624,929,36,44/full/0/default.jpg",ሐ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/49%2F37%2Fcc%2F4937ccd195b343769cdc9269720e52b1%2Fintermediate_file/3986,5464,299,321/full/0/default.jpg",ሑ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/608,1476,124,125/full/0/default.jpg",ሑ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0009_fa_0001r.jp2/748,362,56,41/full/0/default.jpg",መ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0015_fa_0004r.jp2/474,972,44,44/full/0/default.jpg",መ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0021_fa_0007r.jp2/738,1386,60,46/full/0/default.jpg",መ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/a4%2Fc7%2F82%2Fa4c782137f7649a5b8b05ea42a3bf17d%2Fintermediate_file/2706,1375,255,186/full/0/default.jpg",መ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/2816,1328,323,295/full/0/default.jpg",መ
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/94%2Fc8%2F07%2F94c807f418f3478ab069a9ae7fddba37%2Fintermediate_file/831,1081,193,135/full/0/default.jpg",መ
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/94%2Fc8%2F07%2F94c807f418f3478ab069a9ae7fddba37%2Fintermediate_file/2262,1052,161,114/full/0/default.jpg",መ
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/94%2Fc8%2F07%2F94c807f418f3478ab069a9ae7fddba37%2Fintermediate_file/1849,3733,188,115/full/0/default.jpg",መ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/441,1731,126,109/full/0/default.jpg",መ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/584,101,43,37/full/0/default.jpg",መ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/fd%2F05%2F81%2Ffd05810a73fb4225bc7552037cc912bf%2Fintermediate_file/4219,4574,344,214/full/0/default.jpg",ሙ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/7a%2Fc9%2Fa1%2F7ac9a144132f4296acd7fa454cac2bb1%2Fintermediate_file/5374,2458,457,317/full/0/default.jpg",ሙ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/48%2Ffd%2F8f%2F48fd8f0bd89b42419a5a2bd0b39c7f6b%2Fintermediate_file/752,2973,401,248/full/0/default.jpg",ሙ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/4d%2Ffb%2F05%2F4dfb0580cdfa4045906f9818f1057441%2Fintermediate_file/2851,2918,353,299/full/0/default.jpg",ሙ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/612,1724,131,125/full/0/default.jpg",ሙ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0016_fa_0004v.jp2/819,473,54,51/full/0/default.jpg",ሠ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/445,1976,125,102/full/0/default.jpg",ሠ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/593,1956,161,123/full/0/default.jpg",ሡ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0010_fa_0001v.jp2/394,882,45,46/full/0/default.jpg",ረ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/a4%2Fc7%2F82%2Fa4c782137f7649a5b8b05ea42a3bf17d%2Fintermediate_file/3897,2382,141,158/full/0/default.jpg",ረ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/2953,3015,238,273/full/0/default.jpg",ረ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/1610,5165,237,282/full/0/default.jpg",ረ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/439,2196,110,134/full/0/default.jpg",ረ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/449,527,27,38/full/0/default.jpg",ረ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/33%2F6e%2Fbe%2F336ebe7931c54c3684c51b5c59aa24a3%2Fintermediate_file/704,4151,231,323/full/0/default.jpg",ሩ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/7a%2Fc9%2Fa1%2F7ac9a144132f4296acd7fa454cac2bb1%2Fintermediate_file/4493,3988,279,317/full/0/default.jpg",ሩ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/7a%2Fc9%2Fa1%2F7ac9a144132f4296acd7fa454cac2bb1%2Fintermediate_file/4815,4437,233,288/full/0/default.jpg",ሩ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/4d%2Ffb%2F05%2F4dfb0580cdfa4045906f9818f1057441%2Fintermediate_file/4587,4094,244,283/full/0/default.jpg",ሩ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/627,2205,129,122/full/0/default.jpg",ሩ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/81%2F60%2Ff5%2F8160f507a81d4bd4974adde099b8ee51%2Fintermediate_file/4406,1736,180,188/full/0/default.jpg",ሰ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/a4%2Fc7%2F82%2Fa4c782137f7649a5b8b05ea42a3bf17d%2Fintermediate_file/3445,1363,150,177/full/0/default.jpg",ሰ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/2291,1759,224,283/full/0/default.jpg",ሰ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/445,2469,105,83/full/0/default.jpg",ሰ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/1121,525,47,51/full/0/default.jpg",ሰ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/3090,2165,274,308/full/0/default.jpg",ሱ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/2553,4252,271,405/full/0/default.jpg",ሱ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/7a%2Fc9%2Fa1%2F7ac9a144132f4296acd7fa454cac2bb1%2Fintermediate_file/2538,4030,271,288/full/0/default.jpg",ሱ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/607,2447,122,115/full/0/default.jpg",ሱ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0021_fa_0007r.jp2/309,735,48,56/full/0/default.jpg",ቀ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/3064,5584,291,351/full/0/default.jpg",ቀ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/4035,1271,282,380/full/0/default.jpg",ቀ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/4644,1753,294,376/full/0/default.jpg",ቀ
https://figgy.princeton.edu/concern/scanned_resources/bcf83691-4a18-4ddd-a9eb-bbc9dd800641/manifest,"https://iiif-cloud.princeton.edu/iiif/2/94%2Fc8%2F07%2F94c807f418f3478ab069a9ae7fddba37%2Fintermediate_file/722,1830,150,156/full/0/default.jpg",ቀ
https://www.vhmml.org/image/manifest/534303,"https://www.vhmml.org/image/READING_ROOM/AARB/AARB%2000202/AARB_00202_IMG_008r.jpg/440,2696,115,106/full/0/default.jpg",ቀ
https://www.vhmml.org/image/manifest/203663,"https://www.vhmml.org/image/READING_ROOM/EMML/EMML%201832/EMML_1832-003.jpg/810,1002,35,37/full/0/default.jpg",ቀ
https://digi.vatlib.it/iiif/MSS_Vat.et.25/manifest.json,"https://digi.vatlib.it/pub/digit/MSS_Vat.et.25/iiif/Vat.et.25_0009_fa_0001r.jp2/283,271,39,45/full/0/default.jpg",በ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/81%2F60%2Ff5%2F8160f507a81d4bd4974adde099b8ee51%2Fintermediate_file/3607,1981,156,190/full/0/default.jpg",በ
https://figgy.princeton.edu/concern/scanned_resources/db3654ca-8e69-4000-93ab-e44b602cd160/manifest,"https://iiif-cloud.princeton.edu/iiif/2/2c%2F48%2Ff0%2F2c48f05da9f14e9892ab2575c4e0fb2f%2Fintermediate_file/3110,5077,171,192/full/0/default.jpg",በ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/2189,5579,216,288/full/0/default.jpg",በ
https://figgy.princeton.edu/concern/scanned_resources/9d5e20bd-8e05-4696-9693-bd2e0932199f/manifest,"https://iiif-cloud.princeton.edu/iiif/2/ad%2F07%2F0c%2Fad070c416f48402c9ec3acccd61cde11%2Fintermediate_file/4195,2153,240,361/full/0/default.jpg",በ
